ID,FPS,"LootType (0: Single, 1: Loop)"		
bulletflying,20,1	
				
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,"FLIPX (0:False,1:True)"
graphics/bulletflying.png,0,0,440,437,0
graphics/bulletflying.png,440,0,440,437,0
graphics/bulletflying.png,880,0,440,437,0
graphics/bulletflying.png,1320,0,440,437,0
graphics/bulletflying.png,0,437,440,437,0
graphics/bulletflying.png,440,437,440,437,0
graphics/bulletflying.png,880,437,440,437,0
graphics/bulletflying.png,1320,437,440,437,0
graphics/bulletflying.png,0,874,440,437,0
graphics/bulletflying.png,440,874,440,437,0
graphics/bulletflying.png,880,874,440,437,0
graphics/bulletflying.png,1320,874,440,437,0
